
===== alphabet {a, backslash}  (alphabet size 2, len<=3) =====
  a        b        la lb  c  ->live
                     0  0  0  -> 0
           a         0  1  0  -> 0
           \         0  1  0  -> 0
           aa        0  2  0  -> 0
           \a        0  2  0  -> 0
           a\        0  2  0  -> 0
           \\        0  2  0  -> 0
           aaa       0  3  0  -> 0
           \aa       0  3  0  -> 0
           a\a       0  3  0  -> 0
           \\a       0  3  0  -> 0
           aa\       0  3  0  -> 0
           \a\       0  3  0  -> 0
           a\\       0  3  0  -> 0
           \\\       0  3  0  -> 0
  a                  1  0  0  -> 0
  a        a         1  1  1  -> 1
  a        \         1  1  0  -> 0
  a        aa        1  2  1  -> 0
  a        \a        1  2  0  -> 0
  a        a\        1  2  1  -> 1
  a        \\        1  2  0  -> 0
  a        aaa       1  3  1  -> 0
  a        \aa       1  3  0  -> 0
  a        a\a       1  3  1  -> 1
  a        \\a       1  3  0  -> 0
  a        aa\       1  3  1  -> 0
  a        \a\       1  3  0  -> 0
  a        a\\       1  3  1  -> 1
  a        \\\       1  3  0  -> 0
  \                  1  0  0  -> 0
  \        a         1  1  0  -> 0
  \        \         1  1  1  -> 1
  \        aa        1  2  0  -> 0
  \        \a        1  2  1  -> 0
  \        a\        1  2  0  -> 0
  \        \\        1  2  1  -> 0
  \        aaa       1  3  0  -> 0
  \        \aa       1  3  1  -> 0
  \        a\a       1  3  0  -> 0
  \        \\a       1  3  1  -> 0
  \        aa\       1  3  0  -> 0
  \        \a\       1  3  1  -> 0
  \        a\\       1  3  0  -> 0
  \        \\\       1  3  1  -> 0
  aa                 2  0  0  -> 0
  aa       a         2  1  1  -> 0
  aa       \         2  1  0  -> 0
  aa       aa        2  2  2  -> 3
  aa       \a        2  2  0  -> 0
  aa       a\        2  2  1  -> 0
  aa       \\        2  2  0  -> 0
  aa       aaa       2  3  2  -> 0
  aa       \aa       2  3  0  -> 0
  aa       a\a       2  3  1  -> 0
  aa       \\a       2  3  0  -> 0
  aa       aa\       2  3  2  -> 3
  aa       \a\       2  3  0  -> 0
  aa       a\\       2  3  1  -> 0
  aa       \\\       2  3  0  -> 0
  \a                 2  0  0  -> 0
  \a       a         2  1  0  -> 0
  \a       \         2  1  1  -> 0
  \a       aa        2  2  0  -> 0
  \a       \a        2  2  2  -> 3
  \a       a\        2  2  0  -> 0
  \a       \\        2  2  1  -> 0
  \a       aaa       2  3  0  -> 0
  \a       \aa       2  3  2  -> 0
  \a       a\a       2  3  0  -> 0
  \a       \\a       2  3  1  -> 0
  \a       aa\       2  3  0  -> 0
  \a       \a\       2  3  2  -> 3
  \a       a\\       2  3  0  -> 0
  \a       \\\       2  3  1  -> 0
  a\                 2  0  0  -> 0
  a\       a         2  1  1  -> 1
  a\       \         2  1  0  -> 0
  a\       aa        2  2  1  -> 0
  a\       \a        2  2  0  -> 0
  a\       a\        2  2  2  -> 3
  a\       \\        2  2  0  -> 0
  a\       aaa       2  3  1  -> 0
  a\       \aa       2  3  0  -> 0
  a\       a\a       2  3  2  -> 1
  a\       \\a       2  3  0  -> 0
  a\       aa\       2  3  1  -> 0
  a\       \a\       2  3  0  -> 0
  a\       a\\       2  3  2  -> 3
  a\       \\\       2  3  0  -> 0
  \\                 2  0  0  -> 0
  \\       a         2  1  0  -> 0
  \\       \         2  1  1  -> 0
  \\       aa        2  2  0  -> 0
  \\       \a        2  2  1  -> 0
  \\       a\        2  2  0  -> 0
  \\       \\        2  2  2  -> 3
  \\       aaa       2  3  0  -> 0
  \\       \aa       2  3  1  -> 0
  \\       a\a       2  3  0  -> 0
  \\       \\a       2  3  2  -> 0
  \\       aa\       2  3  0  -> 0
  \\       \a\       2  3  1  -> 0
  \\       a\\       2  3  0  -> 0
  \\       \\\       2  3  2  -> 3
  aaa                3  0  0  -> 0
  aaa      a         3  1  1  -> 0
  aaa      \         3  1  0  -> 0
  aaa      aa        3  2  2  -> 0
  aaa      \a        3  2  0  -> 0
  aaa      a\        3  2  1  -> 0
  aaa      \\        3  2  0  -> 0
  aaa      aaa       3  3  3  -> 3
  aaa      \aa       3  3  0  -> 0
  aaa      a\a       3  3  1  -> 0
  aaa      \\a       3  3  0  -> 0
  aaa      aa\       3  3  2  -> 0
  aaa      \a\       3  3  0  -> 0
  aaa      a\\       3  3  1  -> 0
  aaa      \\\       3  3  0  -> 0
  \aa                3  0  0  -> 0
  \aa      a         3  1  0  -> 0
  \aa      \         3  1  1  -> 0
  \aa      aa        3  2  0  -> 0
  \aa      \a        3  2  2  -> 0
  \aa      a\        3  2  0  -> 0
  \aa      \\        3  2  1  -> 0
  \aa      aaa       3  3  0  -> 0
  \aa      \aa       3  3  3  -> 3
  \aa      a\a       3  3  0  -> 0
  \aa      \\a       3  3  1  -> 0
  \aa      aa\       3  3  0  -> 0
  \aa      \a\       3  3  2  -> 0
  \aa      a\\       3  3  0  -> 0
  \aa      \\\       3  3  1  -> 0
  a\a                3  0  0  -> 0
  a\a      a         3  1  1  -> 1
  a\a      \         3  1  0  -> 0
  a\a      aa        3  2  1  -> 0
  a\a      \a        3  2  0  -> 0
  a\a      a\        3  2  2  -> 1
  a\a      \\        3  2  0  -> 0
  a\a      aaa       3  3  1  -> 0
  a\a      \aa       3  3  0  -> 0
  a\a      a\a       3  3  3  -> 3
  a\a      \\a       3  3  0  -> 0
  a\a      aa\       3  3  1  -> 0
  a\a      \a\       3  3  0  -> 0
  a\a      a\\       3  3  2  -> 1
  a\a      \\\       3  3  0  -> 0
